wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789659499316959308,124294856,536,0,1156,0
1789659500327720640,124229544,196,0,1156,0
1789659501338660474,124163008,244,0,1156,0
1789659502349885281,124165508,548,0,1156,0
1789659503361231443,124164320,612,0,1156,0
1789659504375324051,124133584,644,0,1156,0
1789659505387249212,124134260,36,0,1156,0
1789659506401297022,123953512,104,0,1156,0
1789659507412208796,123812484,304,0,1156,0
1789659508422877080,123752592,444,0,1156,0
1789659509434188869,123270268,480,0,1156,0
1789659510444877018,123019552,60,0,11396,0
1789659511456041420,123461968,112,0,146564,0
1789659512466954771,120341568,452,0,146576,0
1789659513481382000,116380968,476,0,146564,0
1789659514492363258,112579784,528,0,146564,0
1789659515504931199,108166912,144,0,146564,0
1789659516516696355,104510560,256,0,146564,0
1789659517528475640,100489532,328,0,146564,0
1789659518540780748,96061272,460,0,146564,0
1789659519552678776,92223004,496,0,146564,0
1789659520564417538,88186216,24,4,146564,0
1789659521576471906,83736596,272,0,146564,0
1789659522588594283,79848656,432,0,146564,0
1789659523600312428,75871584,480,0,146564,0
1789659524612101047,71471240,504,0,146564,0
1789659525623286634,67497472,32,0,146564,0
1789659526634746876,63462364,284,0,146564,0
1789659527646164339,59248620,320,0,146564,0
1789659528660456129,57023452,440,0,146564,0
1789659529671213602,57021164,468,0,146564,0
1789659530681981069,57026784,12,0,146564,0
1789659531693159552,57026428,268,0,146564,0
1789659532704511569,56859568,5576,0,146568,0
1789659533716595619,55566700,5640,0,146568,0
1789659534728417002,54679876,5664,0,146568,0
1789659535739249276,57088924,1612,0,146568,0
1789659536750645558,57094864,1404,0,146568,0
1789659537763307169,57093088,1564,0,146568,0
1789659538775821019,57097008,1608,0,146568,0
1789659539787901043,57092192,1628,0,146568,0
1789659540799752577,57089864,704,0,146568,0
1789659541811969889,57096168,592,0,146568,0
1789659542824695927,57091556,668,0,146568,0
1789659543836601077,57091008,724,0,146568,0
1789659544848795378,57082952,760,0,146568,0
1789659545860931792,57094912,160,0,146568,0
1789659546873591225,57095524,96,0,146568,0
1789659547886152334,57093928,432,240,146568,0
1789659548897925314,57089780,504,0,146568,0
1789659549910149564,57093544,528,0,146568,0
1789659550921953794,57077596,416,24,146568,0
1789659551933655451,57084080,96,0,146568,0
1789659552945474424,57087700,580,0,146568,0
1789659553957308163,57066848,628,0,146568,0
1789659554969224352,57073416,656,0,146568,0
1789659555981167973,57103736,752,0,146568,0
1789659556993358510,57103856,156,0,146568,0
1789659558005296382,57107480,476,0,146568,0
1789659559017379506,57103288,516,0,146568,0
1789659560029467429,57099132,532,0,146568,0
1789659561041770202,57086620,636,0,146568,0
1789659562053646604,57097992,4,0,146568,0
1789659563065486439,57099052,336,0,146568,0
1789659564077217161,57093436,356,0,146568,0
1789659565089245707,57079644,412,0,146568,0
1789659566101071577,57077388,476,0,146568,0
1789659567113077150,57077960,12,0,146568,0
1789659568124793567,57076508,216,0,146568,0
1789659569137113166,57077892,372,0,146568,0
1789659570149505013,57106104,420,0,146568,0
