timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 23:16:15.386, 0 %, 0 %, 1 MiB, 16376 MiB, 21.23 W, 66
2026/09/21 23:16:16.405, 0 %, 0 %, 1 MiB, 16376 MiB, 21.13 W, 66
2026/09/21 23:16:17.405, 0 %, 0 %, 1 MiB, 16376 MiB, 21.08 W, 66
2026/09/21 23:16:18.405, 0 %, 0 %, 1 MiB, 16376 MiB, 21.06 W, 66
2026/09/21 23:16:19.406, 0 %, 0 %, 4 MiB, 16376 MiB, 20.97 W, 66
2026/09/21 23:16:20.406, 0 %, 0 %, 4 MiB, 16376 MiB, 20.91 W, 66
2026/09/21 23:16:21.407, 0 %, 0 %, 4 MiB, 16376 MiB, 20.63 W, 65
2026/09/21 23:16:22.407, 0 %, 0 %, 4 MiB, 16376 MiB, 20.74 W, 65
2026/09/21 23:16:23.407, 0 %, 0 %, 4 MiB, 16376 MiB, 20.72 W, 65
2026/09/21 23:16:24.408, 0 %, 0 %, 4 MiB, 16376 MiB, 20.64 W, 65
2026/09/21 23:16:25.408, 0 %, 0 %, 4 MiB, 16376 MiB, 20.62 W, 65
2026/09/21 23:16:26.409, 0 %, 0 %, 4 MiB, 16376 MiB, 20.56 W, 65
2026/09/21 23:16:27.409, 0 %, 0 %, 4 MiB, 16376 MiB, 20.48 W, 65
2026/09/21 23:16:28.410, 0 %, 0 %, 4 MiB, 16376 MiB, 20.39 W, 65
2026/09/21 23:16:29.410, 0 %, 0 %, 4 MiB, 16376 MiB, 20.26 W, 64
2026/09/21 23:16:30.410, 0 %, 0 %, 19 MiB, 16376 MiB, 20.28 W, 64
2026/09/21 23:16:31.412, 2 %, 0 %, 281 MiB, 16376 MiB, 29.66 W, 65
2026/09/21 23:16:32.412, 0 %, 0 %, 5803 MiB, 16376 MiB, 42.48 W, 65
2026/09/21 23:16:33.413, 0 %, 0 %, 6131 MiB, 16376 MiB, 42.30 W, 65
2026/09/21 23:16:34.413, 41 %, 3 %, 7833 MiB, 16376 MiB, 56.27 W, 67
2026/09/21 23:16:35.413, 0 %, 0 %, 6901 MiB, 16376 MiB, 70.19 W, 67
2026/09/21 23:16:36.414, 100 %, 63 %, 6901 MiB, 16376 MiB, 122.29 W, 71
2026/09/21 23:16:37.414, 100 %, 57 %, 6917 MiB, 16376 MiB, 138.39 W, 72
2026/09/21 23:16:38.414, 10 %, 3 %, 6917 MiB, 16376 MiB, 98.87 W, 70
2026/09/21 23:16:39.415, 15 %, 16 %, 11439 MiB, 16376 MiB, 65.17 W, 70
